"Name","model_config.name","keep_incomplete","model_config.learn_modality_prior","datasets","ID","MFD_label_0","MFD_label_1","MFD_label_2","MFD_label_3","MFD_label_4","MFD_label_5","MFD_label_6","MFD_label_7","MFD_label_8","MFD_label_9","['audio'] reconstruction error (MSE)","['audio'] reconstruction error (SSIM)","['image'] reconstruction error (MSE)","['image'] reconstruction error (SSIM)","mean_coherence_1","mean_coherence_1_class_0","mean_coherence_1_class_1","mean_coherence_1_class_2","mean_coherence_1_class_3","mean_coherence_1_class_4","mean_coherence_1_class_5","mean_coherence_1_class_6","mean_coherence_1_class_7","mean_coherence_1_class_8","mean_coherence_1_class_9","mean_coherence_2","mean_coherence_2_class_0","mean_coherence_2_class_1","mean_coherence_2_class_2","mean_coherence_2_class_3","mean_coherence_2_class_4","mean_coherence_2_class_5","mean_coherence_2_class_6","mean_coherence_2_class_7","mean_coherence_2_class_8","mean_coherence_2_class_9","joint_coherence_prior"
"sunny-hill-125","MVAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","7mgi4zmd","4.90070715489719","3.228831690882425","5.049211943891091","2.880799231020412","3.9435198928853015","3.68252907710132","3.278781707121272","5.227755760297708","5.221865267315035","4.377717131632426","17.22876739501953","0.5507937073707581","5.426019191741943","0.8720697164535522","0.5078333020210266","0.5243332982063293","0.562333345413208","0.5489999651908875","0.5180000066757202","0.4973333775997162","0.45116662979125977","0.6111666560173035","0.4816667139530182","0.5173333287239075","0.3660000264644623","0.7833333611488342","0.8176667094230652","0.827666699886322","0.8230000138282776","0.793999969959259","0.7803333401679993","0.7426666617393494","0.8676666617393494","0.7593333721160889","0.812333345413208","0.6086666584014893","0.520799994468689"
"lucky-firebrand-122","MVAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","oflk6is8","4.664277797906894","3.3331480583327284","4.4605884909547155","2.2820614041148426","3.9400523735507216","3.824341042892817","3.390024154591509","5.800238269446287","6.079260949297018","4.010019371191776","17.37721824645996","0.546928882598877","5.31940221786499","0.8760849833488464","0.527733325958252","0.5568333268165588","0.5603333115577698","0.6136666536331177","0.5351666808128357","0.5791666507720947","0.49816665053367615","0.5736666321754456","0.45466670393943787","0.492666631937027","0.4129999876022339","0.7977666854858398","0.8480000495910645","0.8263333439826965","0.8600000739097595","0.7916666865348816","0.809333324432373","0.7786666750907898","0.8610000610351562","0.7326666712760925","0.7696666717529297","0.7003333568572998","0.5544999837875366"
"fragrant-dawn-122","MVAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","93hji2zi","4.960189683220626","3.8565997182482983","4.8105134661347835","2.951669013962439","4.194271591459084","3.587490985684256","3.838009724198165","6.229335409808229","5.333460860960713","3.2561706465504","17.371910095214844","0.5486965179443359","5.254183292388916","0.8756360411643982","0.514633297920227","0.575666606426239","0.5168333649635315","0.5616666674613953","0.5138333439826965","0.5356666445732117","0.4676666557788849","0.6023333072662354","0.42633333802223206","0.5038333535194397","0.4424999952316284","0.7959333062171936","0.8606666922569275","0.8143332600593567","0.8339999318122864","0.7823333144187927","0.8180000185966492","0.7460000514984131","0.8623332977294922","0.7113333344459534","0.7986666560173035","0.731666624546051","0.5442999601364136"
"cosmic-puddle-122","MVAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","87hyt7kk","4.879003935618987","3.5781401941646065","4.306848045583552","2.680978055417013","3.803925302961728","3.5822878594122316","2.5454277886764487","5.234932064630106","5.384223488675533","3.455236092572751","17.334930419921875","0.5483656525611877","5.312066555023193","0.8753659129142761","0.5281500220298767","0.5381667017936707","0.562333345413208","0.5938333868980408","0.5400000214576721","0.5481666922569275","0.45616665482521057","0.6586666703224182","0.47633329033851624","0.5248332619667053","0.3830000162124634","0.7912333607673645","0.8333333134651184","0.828000009059906","0.8606666922569275","0.8133333325386047","0.8110000491142273","0.747333288192749","0.8713333010673523","0.7560000419616699","0.8006666302680969","0.5906667113304138","0.5340999960899353"
"apricot-violet-120","MVTCAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","zb275uk2","0.7406410270359264","0.8405369511042142","1.1321774330864978","0.6382974911381388","0.9509188781331108","0.7298178155005213","1.2782858125895646","1.1922732764569086","2.3551650528044177","1.0142045285082837","14.101480484008787","0.5910189747810364","4.574880599975586","0.8941475749015808","0.7861499786376953","0.8821666836738586","0.800166666507721","0.8434999585151672","0.800000011920929","0.8113333582878113","0.8073332905769348","0.800166666507721","0.7176666259765625","0.7199999690055847","0.6791666150093079","0.9393666386604308","0.9890000224113464","0.9256666302680968","0.9686667323112488","0.944000005722046","0.9670000076293944","0.9519999623298644","0.9516666531562804","0.9146666526794434","0.9163333773612976","0.8646666407585144","0.40289998054504395"
"dazzling-sun-119","MVTCAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","4lp520xr","0.9445467314160686","1.0193983076820996","1.2385036905662432","0.795790419285215","0.9286461110409602","0.9394529536952808","1.6212718977482174","1.4070772292267246","2.2970092367643313","1.2263031284562629","13.994476318359377","0.5904242396354675","4.661834239959717","0.8927170634269714","0.7731833457946777","0.8448333740234375","0.7758333683013916","0.8243333697319031","0.8263333439826965","0.825333297252655","0.7731666564941406","0.7901666760444641","0.672666609287262","0.7213333249092102","0.6778333187103271","0.9368667006492616","0.978333294391632","0.9386666417121888","0.9690000414848328","0.9479999542236328","0.9670000076293944","0.943666696548462","0.9453333020210266","0.9066666960716248","0.919333279132843","0.8526666760444641","0.3862999975681305"
"solar-mountain-118","MVTCAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","gt1ff93v","0.7760219244942308","0.8512619133419296","1.1849931765331017","0.7535419326920824","1.1824175061273012","0.9143694732616257","1.439276389286441","0.8860745344130974","2.074201791439963","0.9784611050520337","14.179563522338867","0.5903009176254272","4.631235599517822","0.8913049101829529","0.779083251953125","0.8766666054725647","0.7760000228881836","0.8358333706855774","0.809166669845581","0.8029999732971191","0.7923333048820496","0.8048334121704102","0.7198333740234375","0.7183334231376648","0.6548333168029785","0.937566578388214","0.984333336353302","0.9340000152587892","0.9649999737739564","0.9610000252723694","0.9670000076293944","0.9536666870117188","0.9606666564941406","0.9120000004768372","0.9183333516120912","0.8196666836738586","0.37619999051094055"
"sleek-salad-118","MVTCAEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","29qqzg9e","0.9524173492551786","0.7230153388736026","1.270907320498195","0.8563684514370141","0.9199230572691708","0.9378335693501916","1.6925912062516228","1.2985921650495509","2.3850361580788904","1.2102218217257317","14.07412815093994","0.5920066833496094","4.517335414886475","0.8949259519577026","0.7783500552177429","0.8411666750907898","0.8136666417121887","0.8416666984558105","0.8268333077430725","0.8188333511352539","0.7910000681877136","0.7795000076293945","0.7046666741371155","0.7163333296775818","0.6498333215713501","0.9363999366760254","0.9796667098999025","0.9473333358764648","0.9736666679382324","0.9609999656677246","0.9629999995231628","0.944000005722046","0.9413332939147948","0.9230000376701356","0.9089999794960022","0.8220000267028809","0.3649999797344208"
"bumbling-dew-107","MoPoEConfig","false","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","ouuihkf7","6.588358200824673","5.908772202782255","8.09511137943632","6.92536210341073","6.443330644869237","7.3299462335400625","7.1411632555143365","6.739387954335841","11.070393880480175","7.413297804947861","15.767115592956545","0.5655800104141235","7.4718780517578125","0.8258780241012573","0.7137333750724792","0.8661666512489319","0.737500011920929","0.8546667098999023","0.7364999651908875","0.7783333659172058","0.7225000262260437","0.8211666941642761","0.5843333601951599","0.6235000491142273","0.4126666784286499","0.8764333724975586","0.9803333282470704","0.8519999980926514","0.956333339214325","0.9263333678245544","0.9589999318122864","0.9246666431427002","0.9456666111946106","0.8039999604225159","0.7863333821296692","0.6296666264533997","0.3718000054359436"
"dutiful-sound-105","MoPoEConfig","true","","{'train_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'train', 'modalities': ['audio', 'image', 'trajectory'], 'missing_probabilities': {'image': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'audio': [0.1, 0.17777778, 0.25555556, 0.33333333, 0.41111111, 0.48888889, 0.56666667, 0.64444444, 0.72222222, 0.8], 'trajectory': [0.3, 0.31111111, 0.32222222, 0.33333333, 0.34444444, 0.35555556, 0.36666667, 0.37777778, 0.38888889, 0.4]}, 'keep_incomplete': '${keep_incomplete}'}, 'test_set': {'_target_': 'multivae.data.datasets.mhd.MHD', 'datapath': '/home/asenella/scratch/data/MHD', 'split': 'test', 'modalities': ['audio', 'image', 'trajectory']}}","eiuy0bhn","7.394832382674299","6.7013155063927705","8.870901836420833","7.088949169986468","6.706149765593368","7.795449712474734","7.199472676864514","5.91690982625902","10.576148406777","6.354369752278282","15.117090225219728","0.5800862312316895","5.597074031829834","0.8677606582641602","0.7952333092689514","0.9059999585151672","0.8136666417121887","0.8881666660308838","0.8081666827201843","0.7921667098999023","0.8080000281333923","0.8519999980926514","0.7690000534057617","0.749833345413208","0.5653333067893982","0.9233999848365784","0.9893333315849304","0.930999994277954","0.9730000495910645","0.9546666741371156","0.9800000190734864","0.94433331489563","0.9636666774749756","0.9103333353996276","0.8699999451637268","0.7176666259765625","0.4490000009536743"
