,Conditional FD from ['m1'] to m0,"Conditional FD from ['m1', 'm2', 'm3', 'm4'] to m0","Conditional FD from ['m1', 'm2', 'm3'] to m0","Conditional FD from ['m1', 'm2'] to m0",missing_ratio,keep_incomplete,Model
20,179.68532924922425,175.7298288713294,178.36194157037215,178.538620457056,0.5,True,MMVAE
21,184.5550661816567,180.4785620363726,182.797204873796,185.0594509162187,0.5,True,MMVAE
22,180.9936342124903,174.50785980793125,176.20823245488214,178.09891248844497,0.5,True,MMVAE
23,178.63823803718998,172.37309024673414,174.7153068117163,175.5920171102697,0.5,True,MMVAE
24,180.73528369297088,180.79701000691904,181.33146503954097,181.20405521219925,0.2,True,MMVAE
25,180.1259213726322,178.8125089246819,178.20272131589053,180.11731605517306,0.2,True,MMVAE
26,183.2423198315296,181.77910498643047,181.89865267287692,183.5440467010867,0.2,True,MMVAE
27,186.2773150929518,183.40182817005396,185.27166648211912,185.1422373079367,0.2,True,MMVAE
28,167.4426549123677,179.42273307059938,180.29903205477092,185.71813747542305,0.5,False,JNFDcca
29,156.27739983443027,162.74827506676402,163.03554136733158,166.0762492732353,0.5,False,JNFDcca
30,169.43891091885442,182.1427160271802,178.948382561054,179.6675740477421,0.5,False,JNFDcca
31,174.24366520596692,171.77770528783535,172.42502442262844,177.61465665369903,0.5,False,JNFDcca
44,92.10003328931184,98.93162867378815,93.62014597185885,90.21291913874468,0.2,False,JNFDcca
45,106.94938605992604,117.1318222925118,112.45013365271512,108.31170335801164,0.2,False,JNFDcca
46,101.61908163591846,115.80648170031134,108.5719196657392,101.3818890642358,0.2,False,JNFDcca
47,94.20675813973548,107.07395217007132,99.13172346857716,94.74166094026047,0.2,False,JNFDcca
48,96.1029328280348,115.13801107128496,107.0779426561462,97.9954238416256,0.0,False,JNFDcca
49,107.8750661050102,130.2045385889735,119.59684952557213,108.1622482339177,0.0,False,JNFDcca
50,104.8017145767949,113.62167459452512,107.04244612607648,103.65560061145072,0.0,False,JNFDcca
51,107.77502337463204,119.07127309410566,113.38364991941056,108.96532531916472,0.0,False,JNFDcca
52,176.24442526698178,175.66325989639196,172.67706108231118,171.42272060626132,0.5,False,JNF
53,174.88746624728057,184.40129424506776,183.79846907703148,185.7160679664972,0.5,False,JNF
54,166.1497340400071,171.86963257488654,170.35007539002805,171.862414518026,0.5,False,JNF
55,169.30234797848155,176.21754282452497,175.6210245412962,177.89869346066098,0.5,False,JNF
56,98.695687551415,104.95789855994737,100.8223287238834,98.41104085875924,0.2,False,JNF
57,107.86716837543617,127.858919708572,121.05881028068391,113.8476847423907,0.2,False,JNF
58,95.7768755979393,114.90445571307448,106.52056404385904,100.93354209227527,0.2,False,JNF
59,89.3982896038251,97.69434717373343,94.05494559122462,92.44752246934672,0.2,False,JNF
60,95.73222968886648,111.7514195700553,105.03261942309666,99.6955164902082,0.0,False,JNF
61,116.87115603833206,128.50853567471864,126.61115079956974,121.70699732752246,0.0,False,JNF
62,97.74295903551972,129.87185009219553,114.98718735179555,100.42698012569042,0.0,False,JNF
63,96.3165591100555,118.59898411774408,106.75457078470237,97.06088645459216,0.0,False,JNF
64,251.2340284248428,254.50699020714003,254.1601008079295,252.8475369130693,0.5,False,MMVAE
65,260.0505266587978,259.229942478581,259.4769009074494,259.9922041367423,0.5,False,MMVAE
66,264.7551244194059,263.55554749322823,262.78392093754394,264.1497848706946,0.5,False,MMVAE
67,270.15992695636027,268.6705320599504,269.0440451875213,268.810704634754,0.5,False,MMVAE
